#Duplication rate	Coverage
1.0	3987822.0
2.0	1194651.0
3.0	455271.0
4.0	205850.0
5.0	106911.0
6.0	62417.0
7.0	39807.0
8.0	27148.0
9.0	19319.0
10.0	14269.0
11.0	10955.0
12.0	8368.0
13.0	6816.0
14.0	5605.0
15.0	4639.0
16.0	3739.0
17.0	3223.0
18.0	2896.0
19.0	2341.0
20.0	2129.0
21.0	1817.0
22.0	1637.0
23.0	1415.0
24.0	1229.0
25.0	1102.0
26.0	1019.0
27.0	963.0
28.0	881.0
29.0	775.0
30.0	680.0
31.0	579.0
32.0	567.0
33.0	557.0
34.0	530.0
35.0	484.0
36.0	466.0
37.0	398.0
38.0	444.0
39.0	381.0
40.0	316.0
41.0	322.0
42.0	322.0
43.0	288.0
44.0	244.0
45.0	244.0
46.0	229.0
47.0	194.0
48.0	239.0
49.0	214.0
50.0	8214.0
