#Duplication rate	Coverage
1.0	4019437.0
2.0	1268527.0
3.0	503435.0
4.0	238342.0
5.0	129216.0
6.0	77970.0
7.0	50819.0
8.0	35768.0
9.0	25591.0
10.0	19292.0
11.0	15067.0
12.0	11783.0
13.0	9473.0
14.0	7873.0
15.0	6493.0
16.0	5459.0
17.0	4671.0
18.0	3997.0
19.0	3404.0
20.0	3042.0
21.0	2611.0
22.0	2260.0
23.0	1981.0
24.0	1873.0
25.0	1647.0
26.0	1464.0
27.0	1275.0
28.0	1262.0
29.0	1065.0
30.0	1025.0
31.0	928.0
32.0	874.0
33.0	808.0
34.0	690.0
35.0	675.0
36.0	613.0
37.0	624.0
38.0	573.0
39.0	545.0
40.0	428.0
41.0	429.0
42.0	427.0
43.0	386.0
44.0	419.0
45.0	326.0
46.0	321.0
47.0	332.0
48.0	304.0
49.0	264.0
50.0	10119.0
